Comment,Designator,Footprint,LCSC
100nF,"C2,C3",Capacitor_SMD:C_0805_2012Metric,C28233
1uF,"C5,C6",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
10uF,"C7,C8",Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A,C7171
~,D1,Diode_SMD:D_SMB,C145321
~,Q1,Package_TO_SOT_SMD:TO-263-2,C39238
0.05,R1,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C149662
1.2M,R2,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C22107
6.8K,R3,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17772
AMS1117-5.0,U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6187
MAX1771ESA,U2,Package_SO:SO-8_3.9x4.9mm_P1.27mm,C407903
AMS1117-3.3,U3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
